"_id","emotion","id","negative_prob","positive_prob"
"6039c317c24900009500a1fa","-1","B3HsKtzPU","0.826911","0.173089"
"6039c317c24900009500a1fb","-1","z9hvjkoDP","0.972578","0.0274215"
"6039c317c24900009500a1fc","0","DvvaY8pMz","0.488711","0.511289"
"6039c317c24900009500a1fd","1","Ch4oLjgfF","0.295645","0.704355"
"6039c317c24900009500a1fe","-1","ymtA5s0xx","0.999972","2.78581e-05"
"6039c317c24900009500a1ff","1","zodqBzLQp","0.366235","0.633765"
"6039c317c24900009500a200","1","zmEIDzdqv","0.128469","0.871531"
"6039c317c24900009500a201","-1","A5uSov1Yq","0.949793","0.050207"
"6039c317c24900009500a202","1","CoktoCnNK","0.13831","0.86169"
"6039c317c24900009500a203","-1","Cr677mYMb","0.999382","0.000618296"
"6039c317c24900009500a204","1","CvNyZuwkv","9.97222e-05","0.9999"
"6039c317c24900009500a205","0","GnELYz21S","0.498702","0.501298"
"6039c317c24900009500a206","1","CpdzQyQO0","0.00644746","0.993553"
"6039c317c24900009500a207","-1","EAuQVA6jp","0.985401","0.0145987"
"6039c317c24900009500a208","1","DuTBzvSv2","0.111687","0.888313"
"6039c317c24900009500a209","-1","Eziy3njRx","0.896475","0.103525"
"6039c317c24900009500a20a","1","C7MA20d0O","0.250738","0.749262"
"6039c317c24900009500a20b","1","ywDLU7o3M","0.0261708","0.973829"
"6039c317c24900009500a20c","-1","ziH7X4ZkO","0.58025","0.41975"
"6039c317c24900009500a20d","1","AqaYRkPHN","0.100422","0.899578"
"6039c317c24900009500a20e","-1","CFP4PjIKI","0.982047","0.0179535"
"6039c317c24900009500a20f","-1","F4AlnjDeK","0.998393","0.00160751"
"6039c317c24900009500a210","-1","yzpFL8sMH","0.884807","0.115193"
"6039c317c24900009500a211","-1","I1BeShFSq","0.559619","0.44038"
"6039c317c24900009500a212","-1","zoKFG08TR","0.852823","0.147177"
"6039c317c24900009500a213","-1","zAb8x37PO","0.617845","0.382155"
"6039c317c24900009500a214","-1","F2iLejJg2","0.999913","8.69761e-05"
"6039c317c24900009500a215","-1","ylo3qtWef","0.99993","6.95644e-05"
"6039c317c24900009500a216","-1","z7z8C8IWC","0.967647","0.0323531"
"6039c317c24900009500a217","-1","C3XmhfI1x","0.999978","2.23819e-05"
"6039c317c24900009500a218","1","CyEIl8WxZ","0.137864","0.862136"
"6039c317c24900009500a219","-1","BnjY7mJHc","0.964363","0.0356369"
"6039c317c24900009500a21a","-1","yAJSGFuxa","0.866573","0.133427"
"6039c317c24900009500a21b","-1","GzBIF5RiZ","0.956655","0.0433454"
"6039c317c24900009500a21c","1","Ej4AnhlJ3","0.00237372","0.997626"
"6039c317c24900009500a21d","1","BjJ1nFvsJ","0.0279754","0.972025"
"6039c317c24900009500a21e","-1","GnyaK9svw","0.995551","0.00444945"
"6039c317c24900009500a21f","1","z87giyO1J","0.022305","0.977695"
"6039c317c24900009500a220","1","BBRAbchSA","0.224717","0.775283"
"6039c317c24900009500a221","-1","B8D82hn72","0.573092","0.426908"
"6039c317c24900009500a222","-1","zFUxpiOSy","0.995947","0.0040531"
"6039c317c24900009500a223","1","CgKUNmHFh","0.0309865","0.969013"
"6039c317c24900009500a224","1","DB7wChm92","0.249503","0.750497"
"6039c317c24900009500a225","-1","J9ZMvxcvk","0.989337","0.0106626"
"6039c317c24900009500a226","-1","z2SZFcsMB","0.995749","0.00425133"
"6039c317c24900009500a227","-1","zdeoZkX4i","0.998581","0.00141945"
"6039c317c24900009500a228","-1","z6kY7CNHA","0.99138","0.00862009"
"6039c317c24900009500a229","-1","zqghjF1Gq","0.960928","0.0390724"
"6039c317c24900009500a22a","1","zt451k3PV","0.284932","0.715068"
"6039c317c24900009500a22b","1","CaytjhGNq","0.128986","0.871014"
"6039c317c24900009500a22c","1","yCqFlzGSG","0.0971068","0.902893"
"6039c317c24900009500a22d","-1","zn77fkcY1","0.997236","0.00276375"
"6039c317c24900009500a22e","-1","CirThnrKa","0.754839","0.245161"
"6039c317c24900009500a22f","1","Cl2vFlqpj","0.0437657","0.956234"
"6039c317c24900009500a230","1","CdYd8stSg","0.0978261","0.902174"
"6039c317c24900009500a231","1","CgI376uKm","0.0178245","0.982176"
"6039c317c24900009500a232","-1","DsbCL6VW4","0.990643","0.00935726"
"6039c317c24900009500a233","1","CdUmIsna8","0.258954","0.741046"
"6039c317c24900009500a234","1","zt3Zb4nXO","0.39991","0.60009"
"6039c317c24900009500a235","1","C29Dn77K2","0.0594129","0.940587"
